station_m,depth_m,rho_ohm_m
0.0,0.0,131.8
4.7,0.0,146.5
9.5,0.0,133.1
14.2,0.0,132.0
19.0,0.0,121.6
23.7,0.0,150.1
28.5,0.0,144.4
33.2,0.0,133.2
37.9,0.0,139.2
42.7,0.0,139.3
47.4,0.0,130.9
52.2,0.0,136.8
56.9,0.0,139.4
61.7,0.0,138.7
66.4,0.0,139.3
71.2,0.0,122.0
75.9,0.0,108.7
80.6,0.0,105.5
85.4,0.0,88.6
90.1,0.0,78.6
94.9,0.0,97.7
99.6,0.0,90.6
104.4,0.0,103.2
109.1,0.0,117.5
113.8,0.0,112.8
118.6,0.0,134.2
123.3,0.0,137.8
128.1,0.0,136.5
132.8,0.0,142.0
137.6,0.0,133.6
142.3,0.0,122.3
147.1,0.0,137.8
151.8,0.0,132.8
156.5,0.0,147.1
161.3,0.0,142.3
166.0,0.0,135.9
170.8,0.0,140.5
175.5,0.0,151.0
180.3,0.0,149.2
185.0,0.0,143.1
0.0,1.2,147.3
4.7,1.2,141.6
9.5,1.2,142.8
14.2,1.2,148.6
19.0,1.2,142.9
23.7,1.2,146.2
28.5,1.2,134.9
33.2,1.2,130.5
37.9,1.2,130.2
42.7,1.2,140.1
47.4,1.2,153.9
52.2,1.2,151.8
56.9,1.2,132.3
61.7,1.2,124.1
66.4,1.2,136.7
71.2,1.2,125.0
75.9,1.2,98.9
80.6,1.2,106.1
85.4,1.2,88.4
90.1,1.2,91.5
94.9,1.2,83.6
99.6,1.2,94.2
104.4,1.2,100.2
109.1,1.2,102.2
113.8,1.2,119.4
118.6,1.2,124.9
123.3,1.2,143.2
128.1,1.2,132.3
132.8,1.2,130.0
137.6,1.2,148.7
142.3,1.2,152.8
147.1,1.2,155.3
151.8,1.2,152.5
156.5,1.2,131.8
161.3,1.2,138.2
166.0,1.2,139.4
170.8,1.2,143.6
175.5,1.2,126.6
180.3,1.2,143.7
185.0,1.2,146.0
0.0,2.5,142.0
4.7,2.5,150.6
9.5,2.5,159.2
14.2,2.5,150.0
19.0,2.5,158.1
23.7,2.5,157.8
28.5,2.5,152.9
33.2,2.5,152.7
37.9,2.5,146.6
42.7,2.5,159.3
47.4,2.5,145.1
52.2,2.5,142.2
56.9,2.5,151.1
61.7,2.5,135.2
66.4,2.5,137.0
71.2,2.5,131.3
75.9,2.5,109.8
80.6,2.5,95.4
85.4,2.5,89.4
90.1,2.5,80.8
94.9,2.5,62.4
99.6,2.5,71.6
104.4,2.5,105.3
109.1,2.5,112.3
113.8,2.5,106.2
118.6,2.5,122.8
123.3,2.5,141.2
128.1,2.5,137.6
132.8,2.5,151.6
137.6,2.5,149.6
142.3,2.5,153.4
147.1,2.5,140.3
151.8,2.5,154.6
156.5,2.5,165.4
161.3,2.5,143.3
166.0,2.5,160.2
170.8,2.5,157.6
175.5,2.5,154.9
180.3,2.5,149.2
185.0,2.5,140.4
0.0,3.8,150.3
4.7,3.8,163.4
9.5,3.8,165.1
14.2,3.8,167.1
19.0,3.8,165.0
23.7,3.8,164.5
28.5,3.8,153.8
33.2,3.8,147.6
37.9,3.8,158.8
42.7,3.8,161.0
47.4,3.8,157.1
52.2,3.8,143.0
56.9,3.8,148.2
61.7,3.8,135.4
66.4,3.8,139.8
71.2,3.8,117.7
75.9,3.8,109.0
80.6,3.8,95.9
85.4,3.8,79.9
90.1,3.8,81.2
94.9,3.8,61.4
99.6,3.8,61.3
104.4,3.8,100.9
109.1,3.8,121.5
113.8,3.8,137.6
118.6,3.8,141.0
123.3,3.8,151.6
128.1,3.8,153.4
132.8,3.8,144.8
137.6,3.8,151.9
142.3,3.8,161.0
147.1,3.8,152.6
151.8,3.8,172.6
156.5,3.8,145.0
161.3,3.8,153.9
166.0,3.8,166.2
170.8,3.8,152.5
175.5,3.8,148.3
180.3,3.8,146.5
185.0,3.8,151.5
0.0,5.0,178.4
4.7,5.0,169.6
9.5,5.0,170.5
14.2,5.0,162.2
19.0,5.0,173.1
23.7,5.0,167.2
28.5,5.0,159.0
