station_m,depth_m,rho_ohm_m
0.0,0.0,156.3
5.6,0.0,119.6
11.3,0.0,143.3
16.9,0.0,135.5
22.6,0.0,136.4
28.2,0.0,138.3
33.8,0.0,123.8
39.5,0.0,138.1
45.1,0.0,132.9
50.8,0.0,166.1
56.4,0.0,140.3
62.1,0.0,133.5
67.7,0.0,129.4
73.3,0.0,117.5
79.0,0.0,99.8
84.6,0.0,83.7
90.3,0.0,63.7
95.9,0.0,29.0
101.5,0.0,20.0
107.2,0.0,20.0
112.8,0.0,20.0
118.5,0.0,20.0
124.1,0.0,35.3
129.7,0.0,55.8
135.4,0.0,85.4
141.0,0.0,112.5
146.7,0.0,138.3
152.3,0.0,129.5
157.9,0.0,134.4
163.6,0.0,146.6
169.2,0.0,132.4
174.9,0.0,137.5
180.5,0.0,147.0
186.2,0.0,144.6
191.8,0.0,140.7
197.4,0.0,145.4
203.1,0.0,117.4
208.7,0.0,148.2
214.4,0.0,132.3
220.0,0.0,126.7
0.0,1.2,145.9
5.6,1.2,149.3
11.3,1.2,140.2
16.9,1.2,135.1
22.6,1.2,143.9
28.2,1.2,143.3
33.8,1.2,154.9
39.5,1.2,149.6
45.1,1.2,145.1
50.8,1.2,152.0
56.4,1.2,140.5
62.1,1.2,132.3
67.7,1.2,139.3
73.3,1.2,129.8
79.0,1.2,107.5
84.6,1.2,79.8
90.3,1.2,58.6
95.9,1.2,20.0
101.5,1.2,20.0
107.2,1.2,20.0
112.8,1.2,20.0
118.5,1.2,20.0
124.1,1.2,20.0
129.7,1.2,62.8
135.4,1.2,69.8
141.0,1.2,101.9
146.7,1.2,130.8
152.3,1.2,143.9
157.9,1.2,122.5
163.6,1.2,138.1
169.2,1.2,145.8
174.9,1.2,138.7
180.5,1.2,156.4
186.2,1.2,134.2
191.8,1.2,146.5
197.4,1.2,135.3
203.1,1.2,155.0
208.7,1.2,143.5
214.4,1.2,140.7
220.0,1.2,130.0
0.0,2.5,163.0
5.6,2.5,155.6
11.3,2.5,155.6
16.9,2.5,158.7
22.6,2.5,152.3
